cpe_vendor,cpe_product,cpe_version
microsoft,.net_framework,4.8
microsoft,windows_server_2008,-
microsoft,windows_11_22h2,-
microsoft,windows_10_1507,-
microsoft,windows_11_23h2,-
microsoft,.net_framework,4.8.1
microsoft,windows_server_2016,-
microsoft,windows_server_2008,r2
microsoft,windows_11_24h2,-
microsoft,.net_framework,4.7.2
microsoft,windows_server_2012,r2
microsoft,.net_framework,4.6.2
microsoft,windows_10_1607,-
microsoft,windows_server_2019,-
microsoft,windows_server_2012,-
microsoft,windows_server_2022_23h2,-
microsoft,.net_framework,4.7
microsoft,windows_server_2022,-
microsoft,.net_framework,4.6
microsoft,windows_10_21h2,-
microsoft,.net_framework,4.7.1
microsoft,.net_framework,3.5
microsoft,office,2019
microsoft,office_long_term_servicing_channel,2024
microsoft,365_apps,-
microsoft,office_long_term_servicing_channel,2021
microsoft,access,2016
microsoft,power_automate_for_desktop,*
microsoft,windows_10_1607,*
microsoft,windows_server_2022_23h2,*
microsoft,windows_10_1507,*
microsoft,windows_11_24h2,*
microsoft,windows_10_21h2,*
microsoft,windows_server_2019,*
microsoft,windows_server_2016,*
microsoft,windows_server_2022,*
microsoft,windows_10_22h2,*
microsoft,windows_10_1809,*
microsoft,windows_11_23h2,*
microsoft,windows_11_22h2,*
microsoft,windows_server_2025,*
microsoft,office,*
microsoft,office,2021
microsoft,office,2024
microsoft,sharepoint_server,*
microsoft,sharepoint_server,2019
microsoft,sharepoint_server,2016
microsoft,office,2016
microsoft,office_online_server,*
microsoft,outlook,2016
microsoft,autoupdate,*
microsoft,outlook,*
microsoft,excel,2016
microsoft,onenote,-
microsoft,on-prem_data_gateway,*
vyperlang,vyper,*
xwiki,xwiki,16.5.0
xwiki,xwiki,*
redhat,hal_management_console,*
adobe,photoshop,*
adobe,substance_3d_stager,*
adobe,illustrator_on_ipad,*
umbraco,umbraco_forms,*
gradio_project,gradio,*
adobe,animate,*
adobe,substance_3d_designer,*
ietf,ipv6,-
linksys,e5600_firmware,1.1.0.26
linksys,e5600,-
dell,display_manager,*
mongoosejs,mongoose,*
google,android,12.0
linux,linux_kernel,6.13
linux,linux_kernel,6.12
linux,linux_kernel,*
mattermost,mattermost_server,10.2.0
wpulike,wp_ulike,*
gsheetconnector,gsheetconnector_for_forminator_forms,*
boldgrid,post_and_page_builder_by_boldgrid_-_visual_drag_and_drop_editor,*
codebard,codebard_help_desk,*
elementinvader,elementinvader_addons_for_elementor,*
dlink,dwr-m972v_firmware,1.05ssg
dlink,dwr-m972v,-
mattermost,mattermost_mobile,*
wuzhicms,wuzhicms,4.1.0
dlink,dir-878,-
dlink,dir-878_firmware,1.03
native-php-cms_project,native-php-cms,1.0
fanli2012,native-php-cms,1.0
dlink,dir-823x,*
dlink,dir-823x_firmware,240802
dlink,dir-823x_firmware,240126
ddsn,cm3_acora_content_management_system,10.1.1
edimax,re11s,-
edimax,re11s_firmware,1.11
sigb,pmb,*
ffmpeg,ffmpeg,7.1
mdc_youtube_downloader_project,mdc_youtube_downloader,*
librenms,librenms,*
tenda,ac18,-
tenda,ac8,-
tenda,ac10_firmware,16.03.10.20
tenda,ac8_firmware,16.03.10.20
tenda,ac10,-
tenda,ac18_firmware,16.03.10.20
fabianros,train_ticket_reservation_system,1.0
fabianros,chat_system,1.0
1000projects,campaign_management_system_platform_for_women,1.0
1000projects,attendance_tracking_management_system,1.0
fabianros,online_car_rental_system,1.0
microsoft,edge_chromium,*
microsoft,edge_update,*
fabianros,tourism_management_system,1.0
angeljudesuarez,tailoring_management_system,1.0
amazon,aws_cloud_development_kit,*
katex,katex,*
zotregistry,zot,*
craftcms,craft_cms,4.0.0
craftcms,craft_cms,5.0.0
craftcms,craft_cms,*
ultimatemember,ultimate_member,*
podlove,podlove_podcast_publisher,*
tduckcloud,tduck-platform,*
campcodes,school_management_software,1.0
angeljudesuarez,farm_management_system,1.0
anisha,fantasy-cricket,1.0
zzcms,zzcms,2023
tenda,ac15_firmware,15.13.07.13
tenda,ac15,-
linux,linux_kernel,6.2
linux,linux_kernel,6.11
linux,linux_kernel,4.7
phpoffice,phpspreadsheet,*
pwndoc_project,pwndoc,*
vitejs,vite,*
codeigniter,codeigniter,*
netapp,hci_compute_node_firmware,-
crocoblock,jetelements,*
apache,cxf,*
muffingroup,betheme,*
linux,linux_kernel,3.15
taskbuilder,taskbuilder,*
brizy,brizy,*
umbraco,umbraco_cms,*
yeswiki,yeswiki,*
jetbrains,hub,*
jetbrains,youtrack,*
jetbrains,teamcity,*
jetbrains,teamcity,2024.12.1
github,enterprise_server,*
oracle,e-business_suite,*
debian,debian_linux,11.0
oracle,mysql_server,*
netapp,oncommand_insight,-
netapp,active_iq_unified_manager,-
netapp,oncommand_workflow_automation,-
oracle,mysql_server,8.4.0
oracle,mysql_enterprise_firewall,*
oracle,mysql_enterprise_firewall,9.1.0
oracle,http_server,12.2.1.4.0
oracle,jdk,17.0.13
oracle,jdk,21.0.5
oracle,graalvm,21.3.12
oracle,jdk,23.0.1
oracle,jre,11.0.25
oracle,graalvm,20.3.16
oracle,graalvm_for_jdk,17.0.13
oracle,jre,21.0.5
oracle,graalvm_for_jdk,21.0.5
oracle,jre,17.0.13
netapp,data_infrastructure_insights_storage_workload_security_agent,-
oracle,jdk,1.8.0
netapp,brocade_san_navigator,-
oracle,jdk,11.0.25
oracle,jre,1.8.0
oracle,graalvm_for_jdk,23.0.1
oracle,jre,23.0.1
oracle,jd_edwards_enterpriseone_tools,*
oracle,mysql_cluster,*
oracle,primavera_p6_enterprise_project_portfolio_management,*
oracle,peoplesoft_enterprise_peopletools,8.60
oracle,peoplesoft_enterprise_peopletools,8.61
oracle,analytics_desktop,*
oracle,vm_virtualbox,*
oracle,weblogic_server,14.1.1.0.0
oracle,weblogic_server,12.2.1.4.0
oracle,peoplesoft_enterprise_fin_cash_management,9.2
oracle,peoplesoft_enterprise_fin_esettlements,9.2
oracle,workflow,*
oracle,communications_order_and_service_management,7.4.1
oracle,communications_order_and_service_management,7.5.0
oracle,communications_order_and_service_management,7.4.0
oracle,hospitality_opera_5,5.6.25.8
oracle,hospitality_opera_5,5.6.19.20
oracle,hospitality_opera_5,5.6.26.6
oracle,hospitality_opera_5,5.6.27.1
oracle,mysql_connector\/python,*
oracle,financial_services_behavior_detection_platform,8.1.2.7
oracle,financial_services_behavior_detection_platform,8.1.2.8
oracle,financial_services_behavior_detection_platform,8.0.8.1
oracle,solaris,11
oracle,jd_edwards_enterpriseone_orchestrator,*
oracle,java_virtual_machine,*
oracle,agile_product_lifecycle_management,9.3.6
oracle,application_express,24.1
oracle,application_express,23.2
oracle,primavera_p6_enterprise_project_portfolio_management,22.12.1.0
oracle,peoplesoft_enterprise_scm_purchasing,9.2
oracle,peoplesoft_enterprise_cc_common_application_objects,9.2
oracle,hyperion_data_relationship_management,11.2.19.0.000
oracle,argus_safety,8.2.3
apache,ambari,*
aipower,aipower,*
slims,senayan_library_management_system_bulian,9.6.1
buddypress,buddypress,*
cisco,secure_endpoint,*
clamav,clamav,*
cisco,secure_endpoint_private_cloud,*
cisco,meeting_management,*
cisco,broadworks_network_server,*
cilium,cilium,*
jenkins,gitlab,*
jenkins,bitbucket_server_integration,*
jenkins,openid_connect_authentication,*
jenkins,eiffel_broadcaster,*
jenkins,folder-based_authorization_strategy,*
jenkins,azure_service_fabric,*
cloudflare,warp,*
envoyproxy,gateway,*
m-files,m-files_server,*
sonicwall,sra_ex9000,-
sonicwall,sma7210_firmware,*
sonicwall,sma6210,-
sonicwall,sra_ex6000,-
sonicwall,sra_ex6000_firmware,*
sonicwall,sma8200v,*
sonicwall,sma6210_firmware,*
sonicwall,sra_ex7000,-
sonicwall,sma7200,-
sonicwall,sra_ex9000_firmware,*
sonicwall,sma6200,-
sonicwall,sma7210,-
sonicwall,sma6200_firmware,*
sonicwall,sra_ex7000_firmware,*
sonicwall,sma7200_firmware,*
ibm,tivoli_application_dependency_discovery_manager,*
ibm,aix,-
fedorarepository,fcrepo,*
gitlab,gitlab,17.8.0
coollabs,coolify,4.0.0
joeybling,bootplus,*
coollabs,coolify,*
rstheme,ultimate_coming_soon_\&_maintenance,*
ninjateam,gdpr_ccpa_compliance_\&_cookie_consent_banner,*
wcproducttable,woocommerce_product_table,*
webtoffee,"woocommerce_pdf_invoices\,_packing_slips\,_delivery_notes_and_shipping_labels",*
themefic,tourfic,*
g5plus,essential_real_estate,*
wow-company,counter_box,*
wow-company,modal_window,*
codepeople,contact_form_email,*
ip2location,country_blocker,*
addonmaster,post_grid_master,*
metaphorcreations,post_duplicator,*
code-atlantic,popup_maker,*
kadencewp,gutenberg_blocks_with_ai,*
dcatadmin,dcat_admin,2.2.1
iqonic,wpbookit,*
7-zip,7-zip,*
themerex,addons,*
elegantthemes,carousel_maker_for_divi,*
escanav,escan_anti-virus,7.0.32
needyamin,image_gallery_management_system,1.0
apache,solr,*
wisdmlabs,edwiser_bridge,*
wpexperts,wp_multi_store_locator,*
logon,kb_support,*
codecabin,wp_go_maps,*
wpwax,"post_grid\,_slider_\&_carousel_ultimate",*
apache,cocoon,*
tp-link,tl-sg108e_firmware,1.0.0
tp-link,tl-sg108e,-
cacti,cacti,*
fastd_project,fastd,*
vllm,vllm,*
dani-garcia,vaultwarden,*
ruoyi,ruoyi,*
axiosys,bento4,*
apple,macos,*
apple,visionos,*
apple,tvos,*
apple,watchos,*
apple,ipados,*
apple,iphone_os,*
apple,safari,*
nodejs,node.js,*
wpmet,elementskit,*
gitlab,gitlab,17.7.0
redhat,openshift_service_mesh,2.5.6
redhat,openshift_service_mesh,2.6.3
cvat,computer_vision_annotation_tool,*
tandoor,recipes,*
flightgear,simgear,*
arubanetworks,fabric_composer,*
intelbras,incontrol_web,*
esafenet,cdg,5
argie,online_courseware,1.0
mayurik,best_employee_management_system,1.0
gymmanagementsystem,gym_management_system,1.0
flowdee,clickwhale,*
snowflake,snowflake_connector,*
snowflake,snowflake_jdbc,*
gnu,binutils,*
needyamin,library_card_system,1.0
microsoft,account,-
microsoft,azure_ai_face_service,-
1000projects,employee_task_management_system,1.0
tenda,a18,-
tenda,a18_firmware,15.13.07.09
dell,enterprise_sonic_distribution,4.4.0
dell,enterprise_sonic_distribution,*
vruiz,vr-frases,*
dell,networker,*
thesamur,embedai,*
vmware,cloud_foundation,*
vmware,aria_operations_for_logs,*
redhat,jboss_enterprise_application_platform,*
redhat,wildfly,28.0.0
redhat,wildfly,*
vmware,aria_operations,*
argoproj,argo_cd,*
fabianros,simple_car_rental_system,1.0
zoom,meeting_software_development_kit,*
zoom,video_software_development_kit,*
zoom,workplace_desktop,*
zoom,rooms,*
zoom,rooms_controller,*
zoom,workplace_virtual_desktop_infrastructure,*
zoom,workplace,*
santesoft,sante_pacs_server,*
wpmudev,forminator_forms,*
multivendorx,multivendorx,*
metagauss,registrationmagic,*
zoneland,o2oa,9.1.3
zzcms,zzcms,*
artbees,jupiter_x_core,*
dcooperman,magicform,*
zenvia,movidesk,*
cmseasy,cmseasy,7.7.7.9
mediatek,mt7981,-
mediatek,software_development_kit,*
mediatek,mt7916,-
mediatek,mt7986,-
mediatek,mt7663,-
mediatek,mt7615,-
mediatek,mt7915,-
mediatek,mt7622,-
mediatek,mt7603,-
mediatek,mt6989t,-
mediatek,mt6895,-
mediatek,mt6899,-
mediatek,mt6980d,-
mediatek,mt8863,-
mediatek,mt6983,-
mediatek,nr16,-
mediatek,mt8798,-
mediatek,nr17r,-
mediatek,mt6897,-
mediatek,mt6985,-
mediatek,mt6886,-
mediatek,mt6878,-
mediatek,mt6896,-
mediatek,mt6813,-
mediatek,nr17,-
mediatek,mt6835,-
mediatek,mt8676,-
mediatek,mt8678,-
mediatek,mt6991,-
mediatek,mt6879,-
mediatek,mt6895tt,-
mediatek,mt6835t,-
mediatek,mt6989,-
mediatek,mt8795t,-
mediatek,mt6980,-
mediatek,mt8673,-
mediatek,mt6878m,-
mediatek,mt6983t,-
mediatek,mt6990,-
mediatek,mt2737,-
mediatek,mt6985t,-
rdkcentral,rdk-b,2022q3
mediatek,mt8390,-
mediatek,mt6789,-
rdkcentral,rdk-b,2024q1
google,android,14.0
openwrt,openwrt,22.03.5
google,android,15.0
mediatek,mt6855,-
linuxfoundation,yocto,4.0
openwrt,openwrt,21.02.0
google,android,13.0
mediatek,mt6880,-
mediatek,mt6781,-
mediatek,mt6890,-
openwrt,openwrt,19.07.0
mediatek,mt8370,-
mediatek,mt8666,-
mediatek,mt8775,-
mediatek,mt6883,-
mediatek,mt8667,-
mediatek,mt8768,-
mediatek,mt8755,-
mediatek,mt8791t,-
mediatek,mt6739,-
mediatek,mt6779,-
mediatek,mt6885,-
mediatek,mt8789,-
mediatek,mt8321,-
mediatek,mt8796,-
mediatek,mt8766,-
mediatek,mt6893,-
mediatek,mt6580,-
mediatek,mt6785,-
mediatek,mt6853,-
mediatek,mt6877,-
mediatek,mt8781,-
mediatek,mt6761,-
mediatek,mt6889,-
mediatek,mt8788,-
mediatek,mt8765,-
mediatek,mt8771,-
mediatek,mt6765,-
mediatek,mt6768,-
mediatek,mt6833,-
mediatek,mt8786,-
mediatek,mt6873,-
mediatek,mt8797,-
mediatek,mt8385,-
mediatek,mt6771,-
mediatek,mt8167s,-
mediatek,mt8175,-
mediatek,mt8675,-
mediatek,mt8395,-
mediatek,mt8362a,-
mediatek,mt8365,-
mediatek,mt8195,-
mediatek,mt8185,-
mediatek,mt8893,-
mediatek,mt8167,-
ntop,ndpi,*
contest-gallery,contest_gallery,*
pluginus,wolf_-_wordpress_posts_bulk_editor_and_products_manager_professional,*
eladmin,eladmin,*
synacor,zimbra_collaboration_suite,*
synacor,zimbra_collaboration_suite,9.0.0
advantive,veracore,*
yogeshojha,rengine,*
yogeshojha,rengine,2.2.0
enalean,tuleap,*
dell,data_domain_operating_system,*
karacsi_maci,banner_garden,*
automattic,sensei_lms,*
samsung,android,14.0
samsung,android,13.0
samsung,android,12.0
samsung,email,*
samsung,galaxy_store,*
samsung,easysetup,*
samsung,members,*
samsung,blockchain_keystore,*
regularlabs,sourcerer,*
admiror-design-studio,admiror_gallery,*
apache,cassandra,*
yhirose,cpp-httplib,*
joomsky,js_jobs,*
ays-pro,survey_maker,*
cyberchimps,responsive_blocks,*
bigantsoft,bigant_server,*
arubanetworks,clearpass_policy_manager,*
wpovernight,woocommerce_pdf_invoices\&_packing_slips,*
sparkle-project,sparkle,*
discourse,discourse,*
discourse,discourse,3.4.0
parallels,remote_application_server,*
parallels,parallels,*
netapp,h410s_firmware,-
netapp,h300s,-
netapp,h300s_firmware,-
netapp,ontap_select_deploy_administration_utility,-
netapp,h610c,-
netapp,ontap,9
netapp,h410s,-
netapp,h610s_firmware,-
netapp,h410c_firmware,-
netapp,h615c,-
netapp,h700s,-
netapp,h610s,-
haxx,curl,*
netapp,solidfire_\&_hci_storage_node,-
netapp,h500s,-
netapp,h500s_firmware,-
netapp,element_software,-
netapp,h700s_firmware,-
netapp,solidfire_\&_hci_management_node,-
netapp,h610c_firmware,-
netapp,h410c,-
netapp,h615c_firmware,-
netapp,ontap_tools,9
haxx,curl,8.11.1
netapp,hci_h610c_firmware,-
netapp,hci_h615c,-
netapp,hci_h615c_firmware,-
netapp,hci_h610s_firmware,-
zlib,zlib,*
haxx,libcurl,*
netapp,hci_baseboard_management_controller,-
netapp,hci_h610c,-
netapp,hci_h610s,-
dell,avamar_server,19.10
dell,avamar_server,19.8
dell,avamar_server,19.9
dell,avamar_server,19.4
dell,avamar_server,19.7
cisco,identity_services_engine,*
cisco,identity_services_engine,3.1.0
cisco,identity_services_engine,3.2.0
cisco,identity_services_engine,3.3.0
cisco,ios,12.2\(10a\)
cisco,ios,12.2\(8\)yn
cisco,ios,12.4\(15\)xm2
cisco,ios,12.3\(5a\)b2
cisco,ios,12.4\(15\)t15
cisco,ios,12.2\(15\)jk5
cisco,ios_xe,16.7.2
cisco,ios,12.2\(1c\)
cisco,ios,12.2\(20\)ew4
cisco,ios,12.3\(4\)tpc11b
cisco,ios,12.2\(8\)yd1
cisco,ios,12.4\(20\)mr2
cisco,ios,15.1\(2\)sy11
cisco,ios,15.6\(3\)m1
cisco,ios_xe,3.16.3s
cisco,ios,15.3\(3\)jpt1
cisco,ios,12.2\(13\)ja4
cisco,ios,15.3\(1\)sy2
cisco,ios,12.3\(4\)t8
cisco,ios_xe,3.11.0s
cisco,ios,12.4\(20\)mrb1
cisco,ios,12.3\(8\)jec1
cisco,ios,12.2\(23a\)
cisco,ios,15.0\(1\)xo1
cisco,ios,15.2\(6\)e
cisco,ios,12.4\(4\)xd9
cisco,ios,15.3\(3\)jk9
cisco,ios,12.2\(40\)se
cisco,ios,15.3\(3\)jbb
cisco,ios,15.0\(2\)se13
cisco,ios_xe,3.6.7be
cisco,ios,12.2\(10b\)
cisco,ios_xe,17.2.2
cisco,ios,15.1\(2\)sy8
cisco,ios,12.4\(22\)mda2
cisco,ios,15.3\(3\)jpk
cisco,ios,12.2\(20\)ewa1
cisco,ios,15.3\(3\)jn7
cisco,ios_xe,3.12.0as
cisco,ios,15.2\(8\)e5
cisco,ios,12.4\(16\)mr2
cisco,ios,12.3\(7\)xi2
cisco,ios,12.3\(14\)t7
cisco,ios,15.4\(3\)s6
cisco,ios,12.2\(4\)b8
cisco,ios,12.3\(2\)jk1
cisco,ios,15.0\(2\)ex2
cisco,ios,15.4\(3\)s
cisco,ios,15.5\(3\)m6
cisco,ios_xe,16.12.12
cisco,ios,12.2\(1a\)xc1
cisco,ios,12.2\(13\)zd
cisco,ios,12.2\(29\)svd0
cisco,ios,15.3\(3\)m6
cisco,ios,12.4\(1c\)
cisco,ios,12.2\(15\)zj
cisco,ios,12.2\(13\)zh4
cisco,ios,15.2\(4\)ea6
cisco,ios,15.5\(3\)s3
cisco,ios,12.3\(8\)xu4
cisco,ios,15.1\(2\)sy15
cisco,ios,12.2\(15\)mc2b
cisco,ios,12.3\(6a\)
cisco,ios,12.2\(52\)ey1c
cisco,ios,12.4\(23b\)
cisco,ios,12.4\(3a\)
cisco,ios_xe,17.13.1
cisco,ios,15.3\(3\)s1a
cisco,ios,12.2\(13\)zg
cisco,ios,12.2\(4\)bz2
cisco,ios,15.0\(2\)ex13
cisco,ios,15.5\(1\)s4
cisco,ios,12.2\(33\)sce
cisco,ios,15.0\(1\)s6
cisco,ios,15.2\(1\)sy7
cisco,ios,12.2\(20\)s6
cisco,ios,12.2\(4\)bw1
cisco,ios,15.3\(3\)jpn1
cisco,ios,12.4\(25e\)jal
cisco,ios,12.2\(33\)sre9a
cisco,ios_xe,3.8.4e
cisco,ios,12.2\(13\)ze
cisco,ios,12.3\(7\)xi1b
cisco,ios,12.4\(25e\)jap7
cisco,ios_xe,3.10.10s
cisco,ios,15.1\(1\)sy2
cisco,ios,12.3\(8\)xy3
cisco,ios,12.4\(22\)xr1
cisco,ios,12.2\(2\)xa2
cisco,ios,15.6\(2\)sp1
cisco,ios,12.2\(24\)sv1
cisco,ios,12.4\(22\)t1
cisco,ios,12.2\(4\)xf
cisco,ios,12.2\(31\)sga10
cisco,ios,15.2\(2\)eb1
cisco,ios,12.3\(7\)jx4
cisco,ios,12.2\(33\)sre7a
cisco,ios,12.3\(8\)t8
cisco,ios,12.2\(13\)zh2
cisco,ios,12.3\(7\)ja5
cisco,ios,15.3\(3\)jpl
cisco,ios,12.2\(18\)zya3c
cisco,ios,15.0\(1\)sy
cisco,ios,15.2\(2\)e5
cisco,ios,15.5\(1\)sy6
cisco,ios,15.6\(1\)s2
cisco,ios,12.2\(11\)bc3d
cisco,ios_xe,16.9.3a
cisco,ios,12.2\(18\)s7
cisco,ios,12.4\(24\)mdb17
cisco,ios,15.7\(3\)m4b
cisco,ios,15.1\(4\)m1
cisco,ios,12.2\(11\)yq
cisco,ios,12.2\(20\)eu
cisco,ios_xe,3.18.0as
cisco,ios,12.2\(29\)sv3
cisco,ios,12.4\(10b\)jy
cisco,ios,12.4\(7e\)
cisco,ios,15.3\(3\)jf9
cisco,ios,12.2\(2\)xb10
cisco,ios,12.4\(11\)xj4
cisco,ios,12.4\(19b\)
cisco,ios,12.3\(8\)t6
cisco,ios,15.0\(2\)ex11
cisco,ios,15.5\(2\)t2
cisco,ios,12.4\(15\)md1
cisco,ios,12.4\(25e\)jap
cisco,ios,12.4\(4\)xc1
cisco,ios,12.3\(17a\)
cisco,ios,15.2\(2\)sy2
cisco,ios,12.3\(12b\)
cisco,ios,12.4\(11\)md3
cisco,ios,12.3\(11\)yf
cisco,ios,12.2\(19c\)
cisco,ios,12.3\(4\)xd4
cisco,ios,12.2\(25\)see1
cisco,ios_xe,3.4.7sg
cisco,ios,15.4\(3\)s10
cisco,ios,12.4\(5c\)
cisco,ios,12.4\(15\)xz2
cisco,ios,15.1\(2\)sg
cisco,ios,15.0\(2\)ek
cisco,ios,15.2\(2\)sy
cisco,ios,12.4\(15\)xy
cisco,ios,12.4\(11\)xv1
cisco,ios,12.4\(15\)sw
cisco,ios,12.2\(33\)src2
cisco,ios,15.2\(4\)gc1
cisco,ios,12.4\(11\)md
cisco,ios,15.2\(2\)ea2
cisco,ios,15.4\(1\)t2
cisco,ios_xe,16.7.4
cisco,ios,12.2\(33\)sxi4
cisco,ios_xe,17.12.3
cisco,ios,12.3\(7\)xi7a
cisco,ios,12.4\(1b\)
cisco,ios,12.2\(20\)se
cisco,ios,15.1\(3\)s5a
